"GalCV";"NGalNm";"FGalNm";"Amb";"Hosp"
"00001";"inj./inf. oploss. (conc.) i.v. [amp.]";"sol. inj./perf. à diluer i.v. [amp.]";true;false
"00002";"inj. oploss./inf. oploss. (conc.) i.thec./epidur./p.neur. [amp., locoregionale infiltr.]";"sol. inj./sol. perf. à diluer i.théc./p.dural/p.neur. [amp., infiltr. locorégionale]";true;false
"00003";"filmomh. tabl.";"compr. pellic.";true;false
"00004";"inj. susp. i.m./s.c. [voorgev. spuit]";"susp. inj. i.m./s.c. [ser. préremplie]";true;false
"00005";"inj. oploss. s.c. [voorgev. spuit]";"sol. inj. s.c. [ser. préremplie]";true;false
"00006";"gel";"gel";true;false
"00007";"gel (pomp)";"gel (pompe)";true;false
"00008";"tabl.";"compr.";true;false
"00009";"inf. oploss. (conc.) i.v. [flac.]";"sol. perf. à diluer i.v. [flac.]";true;false
"00010";"inj. oploss. i.v./endotrach./i.oss. [voorgev. spuit]";"sol. inj. i.v./endotrach./i.oss. [ser. préremplie]";true;false
"00011";"ocul. druppels susp. S.";"collyre susp. S.";true;false
"00012";"tabl. Wekelijks";"compr. Hebdomadaire";true;false
"00013";"inj./inf. oploss. i.m./i.v./s.c. [amp.]";"sol. inj./perf. i.m./i.v./s.c. [amp.]";true;false
"00014";"harde caps.";"gél.";true;false
"00015";"inj. oploss. i.m./i.v. [amp.]";"sol. inj. i.m./i.v. [amp.]";true;false
"00016";"inj. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit]";"sol. inj. (pdr + solv.) i.v. [flac. + ser. préremplie]";true;false
"00017";"tabl. (deelb. kwantit.)";"compr. (séc. quantit.)";true;false
"00018";"susp. Munt";"susp. Menthe";true;false
"00019";"inj. oploss. s.c. [voorgev. pen]";"sol. inj. s.c. [stylo prérempli]";true;false
"00020";"tabl. (deelb. niet kwantit.)";"compr. (séc. non quantit.)";true;false
"00021";"gran. (zakjes)";"gran. (sachet)";true;false
"00022";"inj. oploss. (pdr. + solv.) i.v. [2x flac., Baxject III]";"sol. inj. (pdr + solv.) i.v. [2x flac., Baxject III]";true;false
"00023";"tabl. verl. afgifte Retard";"compr. lib. prol. Retard";true;false
"00024";"medic. nagellak";"vernis à ongles médic.";true;false
"00025";"druppels oploss.";"gtts sol.";true;false
"00026";"zachte caps.";"caps. molle";true;false
"00027";"tabl. (deelb. kwantit.) Besilate";"compr. (séc. quantit.) Besilate";true;false
"00028";"disp. tabl. (deelb. niet kwantit.)";"compr. disp. (séc. non quantit.)";true;false
"00029";"susp. (pdr.)";"susp. (pdr)";true;false
"00030";"oploss. (zakjes) Unidose";"sol. (sachet) Unidose";true;false
"00031";"inf. oploss. (pdr.) i.v. [flac.]";"sol. perf. (pdr) i.v. [flac.]";true;false
"00032";"susp. (pdr., zakjes)";"susp. (pdr, sachet)";true;false
"00033";"inj./inf. oploss. (pdr. + solv.) i.v. [2x flac.]";"sol. inj./perf. (pdr + solv.) i.v. [2x flac.]";true;false
"00034";"inj. oploss. i.v. [flac.]";"sol. inj. i.v. [flac.]";true;false
"00035";"inj. oploss. i.v. [amp.]";"sol. inj. i.v. [amp.]";true;false
"00036";"inj. oploss. i.m. [flac.]";"sol. inj. i.m. [flac.]";true;false
"00037";"inj. oploss. (pdr. + solv.) i.v. [2x flac.]";"sol. inj. (pdr + solv.) i.v. [2x flac.]";true;false
"00038";"inj./inf. oploss. (pdr.) i.m./i.v. [flac.]";"sol. inj./perf. (pdr) i.m./i.v. [flac.]";true;false
"00039";"maagsapresist. harde caps.";"gél. gastro-résist.";true;false
"00040";"filmomh. tabl. Mitis";"compr. pellic. Mitis";true;false
"00041";"filmomh. tabl. (deelb. kwantit.)";"compr. pellic. (séc. quantit.)";true;false
"00042";"omh. tabl.";"compr. enr.";true;false
"00043";"inj./inf. oploss. i.v. [amp.]";"sol. inj./perf. i.v. [amp.]";true;false
"00044";"inj. oploss. i.v./s.c. [amp.]";"sol. inj. i.v./s.c. [amp.]";true;false
"00045";"crème";"crème";true;false
