"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"1591163";"2Lebv subling. glob. 30 x 1 dos.";"http://www.bcfi.be/nl/contents/jump?amppid=156448";"http://www.bcfi.be/nl/contents/jump?amppid=156448&view=pvt"
"1591254";"2Lherp subling. glob. 30 x 1 dos.";"http://www.bcfi.be/nl/contents/jump?amppid=157669";"http://www.bcfi.be/nl/contents/jump?amppid=157669&view=pvt"
"1591296";"2Lpapi subling. glob. 30 x 1 dos.";"http://www.bcfi.be/nl/contents/jump?amppid=153775";"http://www.bcfi.be/nl/contents/jump?amppid=153775&view=pvt"
"1591338";"2Lveru subling. glob. 30 x 1 dos.";"http://www.bcfi.be/nl/contents/jump?amppid=153759";"http://www.bcfi.be/nl/contents/jump?amppid=153759&view=pvt"
"3595600";"2Lveru subling. glob. Junior 30 x 1 dos.";"http://www.bcfi.be/nl/contents/jump?amppid=153767";"http://www.bcfi.be/nl/contents/jump?amppid=153767&view=pvt"
"4102968";"Aacidexam inj./instill. oploss. i.m./i.v./i.artic./i.burs./rect. [amp.] 10 x 5 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=173799";"http://www.bcfi.be/nl/contents/jump?amppid=173799&view=pvt"
"0860932";"Aacifemine ovule 15 x 0,5 mg";"http://www.bcfi.be/nl/contents/jump?amppid=12286";"http://www.bcfi.be/nl/contents/jump?amppid=12286&view=pvt"
"0016188";"Aacifemine tabl. (deelb.) 30 x 2 mg";"http://www.bcfi.be/nl/contents/jump?amppid=265";"http://www.bcfi.be/nl/contents/jump?amppid=265&view=pvt"
"0860924";"Aacifemine vag. crème 15 g 1 mg / 1 g";"http://www.bcfi.be/nl/contents/jump?amppid=12278";"http://www.bcfi.be/nl/contents/jump?amppid=12278&view=pvt"
"4247763";"Abacavir / Lamivudine Viatris 600/300 filmomh. tabl. 30 x";"http://www.bcfi.be/nl/contents/jump?amppid=177980";"http://www.bcfi.be/nl/contents/jump?amppid=177980&view=pvt"
"4522744";"Abevmy 25 mg / 1 ml inf. oploss. (conc.) i.v. [flac.] 1 x 100 mg / 4 ml";"http://www.bcfi.be/nl/contents/jump?amppid=189381";"http://www.bcfi.be/nl/contents/jump?amppid=189381&view=pvt"
"4522751";"Abevmy 25 mg / 1 ml inf. oploss. (conc.) i.v. [flac.] 1 x 400 mg / 16 ml";"http://www.bcfi.be/nl/contents/jump?amppid=189266";"http://www.bcfi.be/nl/contents/jump?amppid=189266&view=pvt"
"4165536";"Abilify (Abacus) tabl. 28 x 10 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=171652";"http://www.bcfi.be/nl/contents/jump?amppid=171652&view=pvt"
"4904702";"Abilify (Abacus) tabl. 28 x 15 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=200022";"http://www.bcfi.be/nl/contents/jump?amppid=200022&view=pvt"
"4753158";"Abilify (Abacus) tabl. 28 x 30 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=193052";"http://www.bcfi.be/nl/contents/jump?amppid=193052&view=pvt"
"4165726";"Abilify (Abacus) tabl. 98 x 10 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=171660";"http://www.bcfi.be/nl/contents/jump?amppid=171660&view=pvt"
"4178901";"Abilify (Abacus) tabl. 98 x 15 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=171942";"http://www.bcfi.be/nl/contents/jump?amppid=171942&view=pvt"
"2567576";"Abilify inj. oploss. i.m. [flac.] 1 x 9,75 mg / 1,3 ml";"http://www.bcfi.be/nl/contents/jump?amppid=47944";"http://www.bcfi.be/nl/contents/jump?amppid=47944&view=pvt"
"4969077";"Abilify inj. susp. verl. afgifte i.m. [voorgev. spuit] 1 x 960 mg / 3,2 ml";"http://www.bcfi.be/nl/contents/jump?amppid=201913";"http://www.bcfi.be/nl/contents/jump?amppid=201913&view=pvt"
"3154887";"Abilify inj. susp. verl. afgifte (pdr. + solv.) i.m. Maintena [2x flac.] 1 x 400 mg";"http://www.bcfi.be/nl/contents/jump?amppid=109421";"http://www.bcfi.be/nl/contents/jump?amppid=109421&view=pvt"
"3060001";"Abilify oploss. 150 ml 1 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=74625";"http://www.bcfi.be/nl/contents/jump?amppid=74625&view=pvt"
"4201737";"Abilify (Orifarm Belgium) tabl. 28 x 10 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=175992";"http://www.bcfi.be/nl/contents/jump?amppid=175992&view=pvt"
"4201745";"Abilify (Orifarm Belgium) tabl. 98 x 10 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=176008";"http://www.bcfi.be/nl/contents/jump?amppid=176008&view=pvt"
"4272100";"Abilify (Orifarm Belgium) tabl. 98 x 15 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=176016";"http://www.bcfi.be/nl/contents/jump?amppid=176016&view=pvt"
"3534807";"Abilify (PI-Pharma) tabl. 28 x 10 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=165985";"http://www.bcfi.be/nl/contents/jump?amppid=165985&view=pvt"
"3534948";"Abilify (PI-Pharma) tabl. 28 x 15 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=166009";"http://www.bcfi.be/nl/contents/jump?amppid=166009&view=pvt"
"3573573";"Abilify (PI-Pharma) tabl. 28 x 30 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=166017";"http://www.bcfi.be/nl/contents/jump?amppid=166017&view=pvt"
"3573557";"Abilify (PI-Pharma) tabl. 98 x 10 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=165993";"http://www.bcfi.be/nl/contents/jump?amppid=165993&view=pvt"
"3573565";"Abilify (PI-Pharma) tabl. 98 x 15 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=160945";"http://www.bcfi.be/nl/contents/jump?amppid=160945&view=pvt"
"2237220";"Abilify tabl. 28 x 10 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=37481";"http://www.bcfi.be/nl/contents/jump?amppid=37481&view=pvt"
"2237238";"Abilify tabl. 28 x 15 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=37499";"http://www.bcfi.be/nl/contents/jump?amppid=37499&view=pvt"
"2237246";"Abilify tabl. 28 x 30 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=37507";"http://www.bcfi.be/nl/contents/jump?amppid=37507&view=pvt"
"3255684";"Abilify tabl. 98 x 10 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=127530";"http://www.bcfi.be/nl/contents/jump?amppid=127530&view=pvt"
"3255676";"Abilify tabl. 98 x 15 mg (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=127548";"http://www.bcfi.be/nl/contents/jump?amppid=127548&view=pvt"
"4614384";"Abiraterone Accord filmomh. tabl. 56 x 500 mg";"http://www.bcfi.be/nl/contents/jump?amppid=185439";"http://www.bcfi.be/nl/contents/jump?amppid=185439&view=pvt"
"4607750";"Abirateron EG filmomh. tabl. 56 x 500 mg";"http://www.bcfi.be/nl/contents/jump?amppid=185546";"http://www.bcfi.be/nl/contents/jump?amppid=185546&view=pvt"
"4549655";"Abiraterone Krka filmomh. tabl. 60 x 500 mg";"http://www.bcfi.be/nl/contents/jump?amppid=186288";"http://www.bcfi.be/nl/contents/jump?amppid=186288&view=pvt"
"4495099";"Abiraterone Mylan filmomh. tabl. 60 x 500 mg";"http://www.bcfi.be/nl/contents/jump?amppid=186296";"http://www.bcfi.be/nl/contents/jump?amppid=186296&view=pvt"
"4495081";"Abiraterone Mylan filmomh. tabl. (deelb.) 30 x 1 000 mg";"http://www.bcfi.be/nl/contents/jump?amppid=186304";"http://www.bcfi.be/nl/contents/jump?amppid=186304&view=pvt"
"2834786";"Abraxane 5 mg / 1 ml inf. disp. (pdr.) i.v. [flac.] 1 x 100 mg";"http://www.bcfi.be/nl/contents/jump?amppid=140863";"http://www.bcfi.be/nl/contents/jump?amppid=140863&view=pvt"
"4736807";"Abrysvo inj. oploss. (pdr. + solv.) i.m. [flac. + voorgev. spuit] 1 dos.";"http://www.bcfi.be/nl/contents/jump?amppid=193466";"http://www.bcfi.be/nl/contents/jump?amppid=193466&view=pvt"
"3906799";"Acarizax subling. lyofilisaat 30 x 12 SQ-HDM";"http://www.bcfi.be/nl/contents/jump?amppid=173088";"http://www.bcfi.be/nl/contents/jump?amppid=173088&view=pvt"
"4154878";"Acarizax subling. lyofilisaat 90 x 12 SQ-HDM";"http://www.bcfi.be/nl/contents/jump?amppid=173096";"http://www.bcfi.be/nl/contents/jump?amppid=173096&view=pvt"
"4133641";"Acatar Mono siroop oploss. (zonder suiker) 125 ml 3 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=169813";"http://www.bcfi.be/nl/contents/jump?amppid=169813&view=pvt"
"4441077";"Accofil inj./inf. oploss. (conc.) i.v./s.c. [voorgev. spuit] 1 x 12 ME / 0,2 ml";"http://www.bcfi.be/nl/contents/jump?amppid=186726";"http://www.bcfi.be/nl/contents/jump?amppid=186726&view=pvt"
"4441085";"Accofil inj./inf. oploss. (conc.) i.v./s.c. [voorgev. spuit] 1 x 70 ME / 0,73 ml";"http://www.bcfi.be/nl/contents/jump?amppid=185595";"http://www.bcfi.be/nl/contents/jump?amppid=185595&view=pvt"
