"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"1591163";"TCA";"0018671";;"38794-2949";"U";"2Lebv subling. glob. 30x1dos.";;"00097";;30;"x";"1.0";"dos.";;;0.0000;;;;"R";;45.4400;;;;;"subling. glob.";151.4700;45.4400;45.4400;"38976";"homeopathie groep 2Lebv sublinguaal [NOVOS: homeopathisch middel]";false;false;;false;false;false;true;false
"1591254";"TCA";"0018671";;"39198-2949";"U";"2Lherp subling. glob. 30x1dos.";;"00097";;30;"x";"1.0";"dos.";;;0.0000;;;;"R";;45.4400;;;;;"subling. glob.";151.4700;45.4400;45.4400;"39271";"homeopathie groep 2Lherp sublinguaal [NOVOS: homeopathisch middel]";false;false;;false;false;false;true;false
"1591296";"TCA";"0018671";;"38133-2949";"U";"2Lpapi subling. glob. 30x1dos.";;"00097";;30;"x";"1.0";"dos.";;;0.0000;;;;"R";;45.4400;;;;;"subling. glob.";151.4700;45.4400;45.4400;"38273";"homeopathie groep 2Lpapi sublinguaal [NOVOS: homeopathisch middel]";false;false;;false;false;false;true;false
"1591338";"TCA";"0018671";;"38125-2949";"U";"2Lveru subling. glob. 30x1dos.";;"00097";;30;"x";"1.0";"dos.";;;0.0000;;;;;;45.4400;;;;;"subling. glob.";151.4700;45.4400;45.4400;"38257";"homeopathie groep 2Lveru sublinguaal [NOVOS: homeopathisch middel]";false;false;;false;false;false;true;false
"3595600";"TCA";"0018671";;"38125-2949";"U";"2Lveru subling. glob. Junior 30x1dos.";;"00098";;30;"x";"1.0";"dos.";;;0.0000;;;;"R";;45.4400;;;;;"subling. glob. Junior";151.4700;45.4400;45.4400;"38265";"homeopathie groep 2Lveru sublinguaal junior [NOVOS: homeopathisch middel]";false;false;;false;false;false;true;false
"4102968";"EEDA";"0004945";"B";"42-232";"O";"Aacidexam inj./instill. oploss. i.m./i.v./i.artic./i.burs./rect. [amp.] 10x 5mg/1ml";;"00336";;10;"x";;;;;0.0000;;;;"R";"b";24.6900;;;;;"inj./instill. oploss. i.m./i.v./i.artic./i.burs./rect. [amp.]";64.7000;6.4700;3.8500;"8755";"dexamethason injectie/instillatie/rectaal 5 mg / 1 ml";false;false;;true;false;false;true;false
"0860932";"FCACA";"0005637";;"59-232";"O";"Aacifemine ovule 15x 0,5mg";;"00162";;15;"x";;;;;0.0000;;;;"R";;9.3700;;;"1 ovule of 1 applicatie 1x/dag gedurende de eerste weken (max. 4 weken) 
Onderhoudsbehandeling: 1 ovule of 1 applicatie 2x/week";;"ovule";62.4700;9.3700;9.3700;"11460";"estriol vaginaal 0,5 mg";false;false;;false;false;false;true;false
"0016188";"FCAAA";"0005595";"B";"59-232";"O";"Aacifemine tabl. (deelb.) 30x 2mg";;"00020";;30;"x";;;;;0.0000;;;;"R";"b";9.7600;;;"1 à 8 mg/dag in 1 dosis";;"tabl. (deelb. niet kwantit.)";6.6700;2.0000;1.0000;"11486";"estriol oraal 2 mg";false;false;;true;false;false;true;false
"0860924";"FCACA";"0005637";;"59-232";"O";"Aacifemine vag. crème 15g 1mg/1g";;"00127";;1;"x";"15.0";"g";;;0.0000;;;;"R";;10.5600;;"+ 1 applic.";"1 ovule of 1 applicatie 1x/dag gedurende de eerste weken (max. 4 weken) 
Onderhoudsbehandeling: 1 ovule of 1 applicatie 2x/week";;"vag. crème";70.4000;10.5600;10.5600;"11478";"estriol vaginaal 1 mg / 1 g";false;false;;false;false;false;true;false
"4247763";"KDCABE";"0020198";"G";"43679-1289";"U";"Abacavir/Lamivudine Viatris 600/300 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"a4";144.8600;;;;;"filmomh. tabl.";6.6700;2.0000;1.0000;"67";"abacavir + lamivudine oraal 600 mg + 300 mg";false;true;;true;false;false;true;false
"4522744";"MBAA";"0013201";;"46656-4309";"O";"Abevmy 25 mg/1 ml inf. oploss. (conc.) i.v. [flac.] 1x 100mg/4ml";;"00009";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"inf. oploss. (conc.) i.v. [flac.]";0.0000;0.0000;0.0000;"3632";"bevacizumab infusie 100 mg / 4 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"4522751";"MBAA";"0013201";;"46656-4309";"O";"Abevmy 25 mg/1 ml inf. oploss. (conc.) i.v. [flac.] 1x 400mg/16ml";;"00009";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"inf. oploss. (conc.) i.v. [flac.]";0.0000;0.0000;0.0000;"3640";"bevacizumab infusie 400 mg / 16 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"4165536";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) tabl. 28x 10mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"parallelle distributie";;;"tabl.";45.7100;12.8000;8.2600;"2147";"aripiprazol oraal 10 mg";false;true;;true;false;false;true;false
"4904702";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) tabl. 28x 15mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"parallelle distributie";;;"tabl.";45.7100;12.8000;8.2600;"2154";"aripiprazol oraal 15 mg";false;true;;true;false;false;true;false
"4753158";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) tabl. 28x 30mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";64.6000;;"parallelle distributie";;;"tabl.";45.7100;12.8000;8.5000;"2170";"aripiprazol oraal 30 mg";false;true;;true;false;false;true;false
"4165726";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) tabl. 98x 10mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"parallelle distributie";;;"tabl.";16.2200;15.9000;10.5000;"2147";"aripiprazol oraal 10 mg";false;true;;true;false;false;true;false
"4178901";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) tabl. 98x 15mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"parallelle distributie";;;"tabl.";16.2200;15.9000;10.5000;"2154";"aripiprazol oraal 15 mg";false;true;;true;false;false;true;false
"2567576";"JBDA";"0007922";"B";"75-2501";"O";"Abilify inj. oploss. i.m. [flac.] 1x 9,75mg/1,3ml";;"00036";;1;"x";;;;;0.0000;;;;"R";"b";8.4500;;;;;"inj. oploss. i.m. [flac.]";200.0000;2.0000;1.0000;"2188";"aripiprazol injectie 9,75 mg / 1,3 ml";false;false;;true;false;false;true;false
"4969077";"JBDA";"0007922";"B";"75-1073";"O";"Abilify inj. susp. verl. afgifte i.m. [voorgev. spuit] 1x 960mg/3,2ml";;"00046";;1;"x";;;;;0.0000;;;;"R";"b4";380.0600;;;;;"inj. susp. verl. afgifte i.m. [voorgev. spuit]";1280.0000;12.8000;8.5000;"50062";"aripiprazol injectie (gereg. afgifte) 960 mg / 3,2 ml";false;false;;true;false;false;true;false
"3154887";"JBDA";"0007922";"B";"75-1073";"O";"Abilify inj. susp. verl. afgifte (pdr.+solv.) i.m. Maintena [2x flac.] 1x 400mg";;"00778";;1;"x";;;;;2.0000;"ml";"s";;"R";"b4";195.5200;;;;;"inj. susp. verl. afgifte (pdr. + solv.) i.m. Maintena [2x flac.]";1280.0000;12.8000;8.5000;"33662";"aripiprazol injectie (gereg. afgifte) 400 mg";false;false;;true;false;false;true;false
"3060001";"JBDA";"0007922";;"75-2501";"O";"Abilify oploss. 150ml 1mg/1ml";;"00123";;1;"x";"150.0";"ml";;;0.0000;;;;"R";;99.2500;;;;;"oploss.";66.1700;99.2500;99.2500;"2162";"aripiprazol oraal 1 mg / 1 ml";false;false;;false;false;false;true;false
"4201737";"JBDA";"0007922";"G";"75-3418";"O";"Abilify (Orifarm Belgium) tabl. 28x 10mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"parallelle distributie";;;"tabl.";45.7100;12.8000;8.2600;"2147";"aripiprazol oraal 10 mg";false;true;;true;false;false;true;false
"4201745";"JBDA";"0007922";"G";"75-3418";"O";"Abilify (Orifarm Belgium) tabl. 98x 10mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"parallelle distributie";;;"tabl.";16.2200;15.9000;10.5000;"2147";"aripiprazol oraal 10 mg";false;true;;true;false;false;true;false
"4272100";"JBDA";"0007922";"G";"75-3418";"O";"Abilify (Orifarm Belgium) tabl. 98x 15mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"parallelle distributie";;;"tabl.";16.2200;15.9000;10.5000;"2154";"aripiprazol oraal 15 mg";false;true;;true;false;false;true;false
"3534807";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) tabl. 28x 10mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"parallelle distributie";;;"tabl.";45.7100;12.8000;8.2600;"2147";"aripiprazol oraal 10 mg";false;true;;true;false;false;true;false
"3534948";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) tabl. 28x 15mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"parallelle distributie";;;"tabl.";45.7100;12.8000;8.2600;"2154";"aripiprazol oraal 15 mg";false;true;;true;false;false;true;false
"3573573";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) tabl. 28x 30mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";64.6000;;"parallelle distributie";;;"tabl.";45.7100;12.8000;8.5000;"2170";"aripiprazol oraal 30 mg";false;true;;true;false;false;true;false
"3573557";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) tabl. 98x 10mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"parallelle distributie";;;"tabl.";16.2200;15.9000;10.5000;"2147";"aripiprazol oraal 10 mg";false;true;;true;false;false;true;false
"3573565";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) tabl. 98x 15mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"parallelle distributie";;;"tabl.";16.2200;15.9000;10.5000;"2154";"aripiprazol oraal 15 mg";false;true;;true;false;false;true;false
"2237220";"JBDA";"0007922";"G";"75-2501";"O";"Abilify tabl. 28x 10mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;;;;"tabl.";45.7100;12.8000;8.2600;"2147";"aripiprazol oraal 10 mg";false;true;;true;false;false;true;false
"2237238";"JBDA";"0007922";"G";"75-2501";"O";"Abilify tabl. 28x 15mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;;;;"tabl.";45.7100;12.8000;8.2600;"2154";"aripiprazol oraal 15 mg";false;true;;true;false;false;true;false
"2237246";"JBDA";"0007922";"G";"75-2501";"O";"Abilify tabl. 28x 30mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";64.6000;;;;;"tabl.";45.7100;12.8000;8.5000;"2170";"aripiprazol oraal 30 mg";false;true;;true;false;false;true;false
"3255684";"JBDA";"0007922";"G";"75-2501";"O";"Abilify tabl. 98x 10mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;;;;"tabl.";16.2200;15.9000;10.5000;"2147";"aripiprazol oraal 10 mg";false;true;;true;false;false;true;false
"3255676";"JBDA";"0007922";"G";"75-2501";"O";"Abilify tabl. 98x 15mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;;;;"tabl.";16.2200;15.9000;10.5000;"2154";"aripiprazol oraal 15 mg";false;true;;true;false;false;true;false
"4614384";"MEDA";"0017798";;"45682-67";"O";"Abiraterone Accord filmomh. tabl. 56x 500mg";;"00003";;56;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl.";0.0000;0.0000;0.0000;"38141";"abirateron oraal 500 mg [no switch: onco]";false;false;;false;false;false;true;false
"4607750";"MEDA";"0017798";;"45757-612";"O";"Abirateron EG filmomh. tabl. 56x 500mg";;"00003";;56;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl.";0.0000;0.0000;0.0000;"38141";"abirateron oraal 500 mg [no switch: onco]";false;false;;false;false;false;true;false
"4549655";"MEDA";"0017798";;"45906-2303";"O";"Abiraterone Krka filmomh. tabl. 60x 500mg";;"00003";;60;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl.";0.0000;0.0000;0.0000;"38141";"abirateron oraal 500 mg [no switch: onco]";false;false;;false;false;false;true;false
"4495099";"MEDA";"0017798";;"45914-1289";"O";"Abiraterone Mylan filmomh. tabl. 60x 500mg";;"00003";;60;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl.";0.0000;0.0000;0.0000;"38141";"abirateron oraal 500 mg [no switch: onco]";false;false;;false;false;false;true;false
"4495081";"MEDA";"0017798";;"45914-1289";"O";"Abiraterone Mylan filmomh. tabl. (deelb.) 30x 1000mg";;"00047";;30;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl. (deelb. niet kwantit.)";0.0000;0.0000;0.0000;"46417";"abirateron oraal 1 000 mg [no switch: onco]";false;false;;false;false;false;true;false
"2834786";"MAEBC";"0013185";;"34306-406";"O";"Abraxane 5 mg/1 ml inf. disp. (pdr.) i.v. [flac.] 1x 100mg";;"00698";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"inf. disp. (pdr.) i.v. [flac.]";0.0000;0.0000;0.0000;"37523";"paclitaxel infusie 100 mg [no switch: onco]";false;false;;false;false;false;true;false
"4736807";"LAARA";"8904039";"B";"47621-1446";"O";"Abrysvo inj. oploss. (pdr.+solv.) i.m. [flac.+voorgev. spuit] 1dos.";;"00307";;1;"x";;;;;0.5000;"ml";"s";;"R";"b4";186.3600;;;;;"inj. oploss. (pdr. + solv.) i.m. [flac. + voorgev. spuit]";1280.0000;12.8000;8.5000;"47449";"respiratoir syncytieel virus injectie 1 dos. [NOVOS: biological]";true;false;;false;false;false;true;false
"3906799";"LDBA";"8901142";"B";"42440-141";"O";"Acarizax subling. lyofilisaat 30x 12SQ-HDM";;"00073";;30;"x";;;;;0.0000;;;;"R";"c4";94.1600;;;;;"subling. lyofilisaat";53.0000;15.9000;10.5000;"43562";"allergeenextract van huisstofmijten sublinguaal 12 SQ-HDM [NOVOS: biological]";false;false;;true;false;false;true;false
