"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"4102968";"00495";"1";"EEDA";"0004945";"42-232";"Aacidexam inj./instill. oploss. i.m./i.v./i.artic./i.burs./rect. [amp.] 10x 5mg/1ml";0;"inj./instill. oploss. i.m./i.v./i.artic./i.burs./rect. [amp.]";1;"dexamethason natriumfosfaat";;;5.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"0860932";"00644";"1";"FCACA";"0005637";"59-232";"Aacifemine ovule 15x 0,5mg";0;"ovule";1;"estriol";;;0.5000;"mg";;0.0000;;0.0000;;true;false
"0016188";"00644";"1";"FCAAA";"0005595";"59-232";"Aacifemine tabl. (deelb.) 30x 2mg";0;"tabl. (deelb. niet kwantit.)";1;"estriol";;;2.0000;"mg";;0.0000;;0.0000;;true;false
"0860924";"00644";"1";"FCACA";"0005637";"59-232";"Aacifemine vag. crème 15g 1mg/1g";0;"vag. crème";1;"estriol";;;1.0000;"mg";"/";1.0000;"g";0.0000;;true;false
"4247763";"00004";"1";"KDCABE";"0020198";"43679-1289";"Abacavir/Lamivudine Viatris 600/300 filmomh. tabl. 30x";0;"filmomh. tabl.";1;"abacavir";;;600.0000;"mg";;0.0000;;0.0000;;true;false
"4247763";"01005";"1";"KDCABE";"0020198";"43679-1289";"Abacavir/Lamivudine Viatris 600/300 filmomh. tabl. 30x";0;"filmomh. tabl.";2;"lamivudine";;;300.0000;"mg";;0.0000;;0.0000;;true;false
"4522744";"00205";"1";"MBAA";"0013201";"46656-4309";"Abevmy 25 mg/1 ml inf. oploss. (conc.) i.v. [flac.] 1x 100mg/4ml";0;"inf. oploss. (conc.) i.v. [flac.]";1;"bevacizumab";;;100.0000;"mg";"/";4.0000;"ml";0.0000;;true;false
"4522751";"00205";"1";"MBAA";"0013201";"46656-4309";"Abevmy 25 mg/1 ml inf. oploss. (conc.) i.v. [flac.] 1x 400mg/16ml";0;"inf. oploss. (conc.) i.v. [flac.]";1;"bevacizumab";;;400.0000;"mg";"/";16.0000;"ml";0.0000;;true;false
"4165536";"00122";"1";"JBDA";"0007922";"75-3269";"Abilify (Abacus) tabl. 28x 10mg (UD)";0;"tabl.";1;"aripiprazol";;;10.0000;"mg";;0.0000;;0.0000;;true;false
"4904702";"00122";"1";"JBDA";"0007922";"75-3269";"Abilify (Abacus) tabl. 28x 15mg (UD)";0;"tabl.";1;"aripiprazol";;;15.0000;"mg";;0.0000;;0.0000;;true;false
